Event Title,,Event Date Start,,Event Date End,,Before Rate Deadline,,After Rate Deadline
AAAR 2013 Annual Conference,,9/30/2015,,10/4/2015,,9/20/2015,,9/29/2015
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Equipment Group,,Equipment Description,,Before Rate,,After Rate,,
LCD Monitors,,"17"" LCD Display",,175,,275,,
LCD Monitors,,"20"" LCD Display",,200,,300,,
LCD Monitors,,"32"" LCD Display",,350,,450,,
LCD Monitors,,"46"" LCD Display",,650,,1150,,
Plasma Monitors,,"43"" Plasma Display (includes table stand)",,450,,1150,,
Plasma Monitors,,"50"" Plasma Display (includes table stand)",,600,,1150,,
Plasma Monitors,,"61"" Plasma Display",,750,,1150,,
Plasma Monitors,,"Plasma Display 84"" Floor Stand (black)",,75,,1150,,
LED Monitors,,"40"" LED Display Package (include Floor Stand & MAC Mini computer)",,700,,800,,
LED Monitors,,"55"" LED Display Package (include Floor Stand & MAC Mini computer)",,900,,1000,,